county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1924,9.350000000000001,6.87,36.6,41.2,48.7,41.9,81.6,83.2,80.53333333333332,4.2,-0.54,-0.72,0.9800000000000001,2.84,-1.61,-0.71,0.8799999999999999
001,1925,8.56,7.48,39.7,40.7,59.0,35.8,83.1,83.8,84.0,-2.6,-2.16,-2.52,-2.4266666666666663,-1.89,0.51,-1.75,-1.32
001,1926,4.4399999999999995,4.76,31.9,45.7,55.1,42.8,85.0,83.6,81.73333333333333,-0.47,-0.67,0.83,-0.10333333333333339,-0.14,-0.73,2.49,0.23666666666666672
001,1927,5.2299999999999995,2.8,37.8,48.7,55.7,43.5,84.4,77.1,78.83333333333333,3.64,3.16,2.82,3.206666666666667,4.11,-0.32,-0.06,-0.17
001,1928,6.3100000000000005,8.469999999999999,34.2,45.3,47.9,46.0,83.6,84.2,80.06666666666666,1.64,2.19,-0.45,1.1266666666666667,0.59,2.14,-1.35,1.376666666666667
001,1929,6.7,4.94,40.6,46.0,51.3,39.5,83.9,79.2,80.2,1.22,2.19,2.73,2.046666666666667,1.19,3.29,2.31,2.02
001,1930,10.969999999999999,6.44,37.4,49.4,52.9,38.0,88.7,82.3,84.06666666666666,-1.7,-1.91,-1.9,-1.8366666666666667,-1.47,-1.15,-0.55,-0.9533333333333331
001,1931,2.6,2.23,37.2,44.6,57.3,45.2,89.7,82.9,85.5,-4.59,-4.79,-4.22,-4.533333333333332,-4.75,-2.01,0.23,-0.9299999999999998
001,1932,7.76,4.88,34.4,46.6,50.7,42.4,86.3,84.7,84.60000000000001,-3.49,-3.59,-4.2,-3.7600000000000002,-3.41,-1.38,-2.95,-1.8766666666666667
001,1933,7.25,6.71,38.1,52.3,57.5,38.6,87.2,82.1,86.0,-1.16,-1.58,-1.55,-1.43,2.66,-1.63,-0.39,-1.8299999999999998
001,1934,3.72,2.32,35.9,48.4,53.6,40.3,92.7,82.8,88.2,-3.38,-4.6,-4.09,-4.023333333333333,-2.64,-4.69,0.1,-2.5433333333333334
