county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09
001,1954,3.04,3.63,3.04,4.26,2.89,3.37,39.0,47.1,63.2,66.4,62.6,53.9
001,1955,1.21,2.17,3.46,9.48,4.44,3.3,47.1,56.6,62.7,71.0,68.4,55.1
001,1956,1.71,3.72,1.68,3.36,4.03,1.28,36.2,50.9,64.6,62.8,63.1,52.2
001,1957,2.87,2.7,5.74,4.36,2.3,3.32,40.1,52.0,60.4,69.5,64.1,53.3
001,1958,1.06,1.69,4.81,4.05,4.37,2.79,43.1,53.2,55.6,63.9,64.3,56.3
001,1959,0.79,6.47,2.94,3.13,4.18,3.56,40.6,54.3,63.5,67.6,67.8,55.7
001,1960,3.74,4.51,3.03,2.3,3.28,1.49,40.1,52.6,60.2,67.4,67.8,56.6
001,1961,3.28,2.86,1.01,3.49,1.43,4.55,35.3,50.8,64.2,66.5,68.5,55.5
001,1962,1.82,5.93,2.92,4.29,3.73,3.34,37.4,54.4,61.1,63.7,64.3,52.8
001,1963,2.85,3.94,4.18,4.65,4.01,2.72,42.3,51.2,64.4,68.5,63.9,57.4
001,1964,3.41,4.0,4.02,2.56,6.53,5.18,41.6,56.9,61.6,69.0,61.2,54.2
001,1965,1.9,4.3,6.2,2.66,3.33,6.75,39.3,53.8,60.1,64.6,62.7,47.7
001,1966,2.85,2.15,3.78,4.91,6.09,0.87,36.4,48.8,63.2,70.4,62.4,55.0
001,1967,2.22,1.41,5.71,1.84,2.67,0.78,39.1,46.8,61.0,65.2,62.4,56.0
001,1968,4.67,3.67,6.42,3.51,1.95,4.96,42.3,50.1,61.0,65.8,64.1,56.0
001,1969,1.69,2.28,2.98,4.93,0.71,3.88,42.4,53.2,55.6,65.6,68.2,56.3
001,1970,3.18,2.79,2.85,2.15,1.22,1.86,38.5,50.2,64.4,69.5,66.2,56.2
001,1971,1.67,3.11,4.39,4.06,2.55,1.98,40.9,50.2,65.2,63.0,62.9,56.7
001,1972,1.71,3.94,2.96,9.07,6.48,2.63,36.3,57.0,62.0,64.8,64.6,52.7
001,1973,1.28,3.44,3.33,5.54,4.88,3.3,40.3,50.9,62.8,66.4,67.5,54.7
001,1974,2.82,3.71,3.67,4.51,5.29,0.71,40.9,48.9,61.9,70.2,62.2,50.6
001,1975,2.41,2.36,5.74,4.14,2.84,2.62,34.0,56.6,62.2,70.7,64.4,52.6
001,1976,0.86,0.97,5.74,2.61,1.21,0.6,46.0,53.0,65.3,67.9,67.0,56.3
001,1977,1.77,3.9,4.05,4.53,4.46,4.44,46.9,61.9,63.3,68.5,59.4,54.6
001,1978,2.07,3.49,3.32,6.29,8.29,2.68,39.8,56.3,62.2,65.7,65.0,58.9
001,1979,1.03,3.16,3.81,3.27,2.46,2.67,36.2,48.2,61.0,66.9,62.4,57.1
001,1980,0.45,1.4,3.07,3.56,4.15,4.48,44.2,57.3,62.1,68.6,64.8,53.4
001,1981,4.15,1.47,6.74,2.78,4.09,1.82,42.9,52.6,61.4,66.9,65.3,54.3
001,1982,1.92,4.3,2.52,4.3,2.49,4.53,37.0,56.2,57.3,67.8,63.2,54.8
001,1983,1.03,1.94,3.81,4.39,3.22,3.66,38.5,49.1,61.7,70.8,70.0,57.1
001,1984,1.75,2.64,7.05,1.86,1.82,2.77,43.4,51.1,63.3,66.9,68.9,51.2
001,1985,3.92,4.13,4.79,4.88,4.06,4.59,44.6,56.6,58.0,66.1,61.3,53.6
001,1986,4.38,3.48,6.09,5.24,5.04,7.38,44.5,54.7,62.5,68.0,61.7,54.3
001,1987,0.28,3.55,1.43,5.17,3.33,2.86,48.2,55.9,65.9,70.0,64.4,57.0
001,1988,0.26,2.55,2.72,2.73,6.13,4.06,41.4,59.5,66.5,70.9,66.4,55.8
001,1989,1.93,3.69,4.23,1.16,5.54,3.74,38.1,53.6,61.6,69.8,65.4,55.9
001,1990,3.42,1.46,5.61,3.5,2.75,3.05,40.9,50.4,63.6,65.9,65.0,57.6
001,1991,2.28,4.59,4.57,6.25,2.18,4.81,44.3,57.1,65.1,66.3,67.9,54.8
001,1992,1.73,1.8,3.88,3.54,4.88,1.93,37.9,55.6,59.1,60.2,61.1,54.4
001,1993,2.57,4.39,4.32,6.19,4.13,1.47,38.6,51.8,59.1,64.6,65.3,50.1
001,1994,3.6,2.55,5.72,3.74,2.35,3.47,40.4,55.7,64.1,65.6,62.9,58.6
001,1995,1.51,2.74,1.35,6.07,5.97,1.99,35.5,52.2,67.3,66.4,67.7,55.1
001,1996,1.44,2.14,3.87,6.27,1.86,2.98,35.5,50.6,63.1,65.0,66.6,57.2
001,1997,0.65,1.83,5.08,5.54,2.69,2.5,38.4,47.7,65.0,66.2,62.3,58.8
001,1998,1.79,3.18,6.77,2.9,2.18,2.47,44.8,59.5,61.0,67.3,67.3,60.9
001,1999,2.18,5.41,3.74,6.14,6.39,4.39,44.1,55.8,62.9,70.4,64.9,56.1
001,2000,1.81,3.42,3.91,3.63,4.17,1.65,41.0,55.3,59.0,66.9,66.0,54.6
001,2001,5.99,4.62,5.03,2.15,3.0,1.47,42.2,55.4,63.4,68.7,68.6,56.3
001,2002,2.55,2.32,4.23,7.78,4.74,3.7,38.6,48.4,65.2,70.4,65.0,59.4
001,2003,2.75,3.37,5.35,3.9,1.12,3.39,41.1,52.9,62.2,67.8,69.0,57.4
001,2004,1.44,3.22,2.55,4.11,2.47,6.07,41.7,49.4,59.0,65.4,59.8,61.0
001,2005,1.8,4.06,6.98,2.03,2.2,3.63,46.3,51.0,65.7,69.4,65.8,60.2
001,2006,1.66,2.96,2.67,2.23,2.16,1.88,47.9,55.8,63.9,72.6,66.8,55.9
001,2007,2.68,2.17,2.33,2.84,2.02,5.3,40.5,57.1,66.3,69.4,65.1,57.6
001,2008,3.41,2.69,5.14,2.96,1.53,3.93,39.2,50.0,61.2,66.7,65.5,57.0
001,2009,1.48,1.41,3.0,4.29,3.42,0.69,41.3,52.1,60.4,62.4,62.7,62.2
001,2010,0.87,3.05,4.11,4.92,6.07,3.67,48.5,55.0,62.0,69.3,69.0,53.4
001,2011,2.28,5.21,4.06,4.18,4.86,1.02,40.3,52.1,60.9,71.2,67.2,56.3
001,2012,3.28,8.99,9.64,4.86,2.16,0.66,43.5,56.0,64.9,72.7,65.7,55.3
001,2013,3.1,3.34,5.58,1.99,1.74,2.56,32.6,51.3,61.2,67.5,66.5,59.4
001,2014,3.49,4.38,6.26,3.14,5.44,2.85,35.9,53.1,63.3,65.9,65.4,57.1
001,2015,1.18,4.96,3.25,3.98,4.32,3.64,42.9,52.2,62.8,68.8,64.2,62.8
001,2016,2.15,1.52,4.97,7.79,4.38,4.32,40.4,54.6,62.3,67.9,67.3,59.0
001,2017,3.12,3.42,4.02,3.04,6.42,4.67,42.7,52.0,62.5,67.2,61.8,59.8
001,2018,0.84,2.37,5.91,5.31,3.92,3.61,31.6,59.0,63.3,68.6,66.0,57.6
001,2019,2.48,3.79,3.37,3.54,3.11,7.76,39.5,48.4,62.4,69.6,64.2,57.9
001,2020,1.44,1.04,2.62,6.55,6.21,1.22,38.6,52.5,65.1,70.2,67.1,54.8
001,2021,3.01,1.36,1.57,2.07,2.59,3.53,40.9,53.4,67.9,69.4,68.7,60.2
001,2022,2.55,6.37,4.62,2.61,3.92,2.39,34.3,53.7,63.8,67.3,65.8,58.4
001,2023,3.04,1.44,1.99,1.32,2.23,4.86,36.8,57.0,66.7,66.5,65.8,62.3
001,2024,2.82,3.64,6.91,3.07,3.99,0.56,42.4,54.4,62.5,68.4,65.8,63.8
001,2025,2.33,2.11,4.27,4.51,1.67,2.67,40.2,54.6,62.9,68.5,65.8,60.6
001,2026,2.98,0.96,4.64,2.97,1.93,,39.5,51.6,62.9,72.7,65.7,
003,1895,2.03,3.96,3.34,4.44,2.25,5.49,49.9,57.6,66.3,68.6,67.6,62.3
003,1896,6.24,4.34,4.11,1.74,3.95,2.8,44.7,61.4,66.5,69.4,67.7,54.6
003,1897,1.69,1.59,6.17,7.34,2.69,2.68,43.5,54.8,63.2,73.2,65.6,64.4
003,1898,1.58,3.13,3.2,2.16,3.19,1.2,43.7,56.6,66.8,71.1,67.4,61.3
003,1899,1.28,3.63,4.79,1.71,4.93,1.61,45.0,56.5,66.1,71.8,69.9,56.9
003,1900,1.61,0.28,1.21,6.05,5.45,7.32,50.0,60.7,67.3,69.6,74.4,59.2
003,1901,1.23,1.28,5.45,2.72,1.76,4.96,47.4,58.2,66.7,75.4,69.7,57.5
003,1902,2.39,4.35,2.5,7.18,3.52,3.44,43.4,59.0,62.3,70.7,65.4,55.6
003,1903,4.41,5.52,1.75,6.87,4.97,6.74,43.6,57.4,63.1,68.1,63.8,56.2
003,1904,2.04,3.15,4.37,4.52,4.85,4.13,39.2,56.0,63.4,66.7,64.5,57.4
003,1905,1.17,4.31,7.27,4.29,5.82,4.53,42.8,53.2,64.1,68.4,68.8,62.0
003,1906,1.95,7.81,3.89,2.71,3.27,4.42,49.0,54.7,64.8,69.2,69.9,62.8
003,1907,1.0,2.67,4.87,2.77,4.94,4.18,35.7,46.5,64.4,69.4,67.0,57.9
003,1908,3.57,6.54,6.71,2.78,1.18,2.41,45.9,55.4,64.0,71.0,67.2,65.1
003,1909,1.64,3.46,3.82,3.66,3.47,4.54,37.3,54.2,66.1,70.6,72.5,59.0
003,1910,0.68,1.6,1.01,1.76,2.48,2.07,49.8,53.2,69.2,72.2,67.5,60.3
003,1911,2.2,3.39,6.09,4.23,4.26,4.62,44.3,60.8,71.3,69.8,65.9,58.3
003,1912,2.12,5.68,1.8,5.7,5.39,2.06,47.2,57.2,63.6,70.7,65.9,59.4
003,1913,2.11,3.28,2.64,7.57,3.14,4.09,47.9,54.6,69.2,69.5,71.2,59.4
003,1914,2.87,2.72,7.63,2.23,5.22,3.02,43.4,59.8,65.9,74.2,67.7,60.1
003,1915,1.6,4.91,5.18,4.89,2.89,3.0,54.1,52.0,61.3,66.6,64.4,58.6
003,1916,2.56,6.26,6.2,2.3,3.36,2.87,42.2,55.0,61.2,76.4,69.2,57.0
003,1917,1.79,2.65,3.05,4.4,2.69,2.27,40.7,53.3,62.3,72.0,65.3,57.5
003,1918,1.29,5.93,2.13,4.43,4.28,1.38,42.2,58.6,65.8,70.0,69.0,52.6
003,1919,3.89,2.4,5.01,5.34,2.39,1.34,43.5,56.9,69.3,73.0,67.7,61.6
003,1920,2.54,3.65,7.5,1.94,1.84,3.2,37.0,57.3,67.2,69.5,68.4,63.2
003,1921,2.05,3.75,3.28,4.05,2.57,4.26,48.6,58.9,72.1,76.3,68.9,61.3
003,1922,1.79,3.19,4.59,1.45,2.1,2.33,43.5,62.2,68.2,69.0,71.6,63.6
003,1923,1.58,2.57,5.66,3.31,2.05,2.29,42.1,57.7,70.2,74.6,65.8,61.3
003,1924,3.11,1.57,5.3,2.54,7.33,4.93,42.7,49.3,63.5,68.9,66.2,55.9
003,1925,1.57,1.92,6.48,5.67,0.99,3.77,51.0,53.3,65.8,69.1,70.6,62.8
