county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1924,1.27,1.27,27.5,32.5,40.8,37.5,76.8,73.0,73.33333333333333,0.13,0.57,0.85,0.5166666666666666,0.01,1.36,1.02,0.9166666666666666
001,1925,2.0,1.21,32.5,34.8,45.6,24.3,77.1,79.5,76.23333333333333,-1.37,-1.11,-0.98,-1.1533333333333335,-1.66,0.36,0.04,0.25333333333333335
001,1926,1.8800000000000001,1.15,23.8,40.0,41.4,31.0,78.9,74.0,74.23333333333333,-2.54,-2.53,0.08,-1.6633333333333333,-2.15,-0.76,0.23,-0.7833333333333333
001,1927,2.56,2.11,29.6,37.5,47.1,33.3,74.9,72.4,72.83333333333334,-0.47,-0.36,-0.29,-0.3733333333333333,-0.27,0.17,0.1,-0.1366666666666667
001,1928,2.0300000000000002,2.71,23.0,40.2,41.4,34.1,76.4,75.1,73.4,0.1,0.85,1.36,0.77,-1.64,2.27,1.79,1.4566666666666668
001,1929,2.04,1.1099999999999999,29.3,35.6,42.2,32.9,80.8,77.1,76.86666666666666,-1.63,-2.56,-3.26,-2.483333333333333,-1.06,-3.28,-2.9,-2.74
001,1930,2.79,1.04,28.5,40.2,42.3,33.4,80.9,82.3,79.26666666666667,-2.71,-3.3,-4.63,-3.546666666666667,-2.72,-2.62,-5.01,-2.8066666666666666
001,1931,0.7,2.58,28.5,38.1,48.5,38.5,80.9,74.4,77.33333333333334,-3.19,-3.41,-3.24,-3.28,-4.38,-1.64,-0.54,0.01333333333333342
001,1932,1.52,3.58,28.0,40.7,40.6,30.2,80.2,78.4,78.83333333333334,-2.37,-2.45,-2.57,-2.4633333333333334,-1.79,-0.97,-1.1,-1.4600000000000002
001,1933,1.88,2.79,27.3,41.2,47.2,28.8,81.8,77.0,80.5,-2.18,-2.94,-3.91,-3.0100000000000002,-1.16,-2.95,-3.82,-3.3966666666666665
001,1934,2.23,2.39,29.0,43.5,40.5,36.2,79.1,74.0,75.96666666666665,-4.35,-4.67,-4.95,-4.656666666666666,-4.39,-2.3,-2.3,-1.9466666666666665
001,1935,2.29,2.21,26.8,36.8,40.8,32.0,82.0,74.3,74.8,0.58,1.06,1.44,1.0266666666666666,0.18,1.64,1.45,1.4433333333333334
001,1936,2.42,1.93,22.4,43.5,45.6,27.5,85.7,76.4,78.16666666666667,-1.11,-2.87,-3.63,-2.5366666666666666,-0.14,-5.65,-3.16,-3.9166666666666665
001,1937,4.33,3.17,28.4,41.2,43.5,29.8,79.9,80.6,77.73333333333333,-2.88,-2.73,-2.68,-2.763333333333333,-2.68,-0.44,-0.7,-0.8533333333333332
001,1938,1.81,1.7999999999999998,28.0,40.3,43.2,36.8,77.0,79.4,76.60000000000001,-0.64,-0.91,-1.45,-1.0,2.76,-1.01,-1.91,-1.6166666666666665
001,1939,4.17,3.2299999999999995,25.2,41.7,44.6,32.4,80.2,76.6,76.66666666666667,-0.7,-1.62,-1.47,-1.2633333333333334,-1.06,-2.98,-0.05,-0.7599999999999999
001,1940,1.54,0.37,26.8,38.0,46.7,37.2,79.9,72.4,75.00000000000001,-3.81,-3.89,-3.37,-3.69,-3.39,-1.42,0.35,-1.1199999999999999
001,1941,1.7200000000000002,2.79,36.2,45.0,47.3,35.0,80.6,75.5,76.56666666666666,0.82,0.16,1.46,0.8133333333333334,0.74,-1.72,3.95,0.9
