county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1924,1.83,0.5900000000000001,36.7,40.8,45.9,44.4,82.5,83.1,81.3,1.82,1.54,1.61,1.656666666666667,-1.91,-0.29,0.7,1.96
001,1925,2.27,1.97,43.5,42.8,56.3,30.0,88.6,84.5,85.23333333333333,-2.54,-3.06,-2.62,-2.7399999999999998,-3.15,-2.34,0.37,-0.37666666666666665
001,1926,2.8299999999999996,1.4,31.6,50.6,53.1,40.0,86.6,86.2,84.06666666666666,-2.44,-2.6,-2.74,-2.5933333333333333,-3.02,-1.22,-1.21,-0.5466666666666666
001,1927,1.79,2.45,38.0,46.4,54.5,42.1,88.1,81.6,82.89999999999999,-1.23,-1.74,-2.25,-1.74,-0.42,-1.93,-2.06,-2.1833333333333336
001,1928,2.92,0.9,31.5,48.6,46.8,41.7,86.0,85.0,82.23333333333333,0.6,1.27,1.59,1.1533333333333333,-3.4,2.18,1.35,1.78
001,1929,5.109999999999999,5.84,39.5,45.7,50.0,39.5,85.1,85.4,83.43333333333332,-0.81,-0.74,-1.42,-0.9899999999999999,-0.4,-0.05,-2.27,-1.22
001,1930,1.71,1.93,38.9,47.7,52.3,39.7,92.7,87.4,87.0,-0.68,-1.31,-1.68,-1.2233333333333334,-0.94,-2.09,-1.52,-1.04
001,1931,0.7200000000000001,2.06,36.9,44.5,59.1,45.8,90.4,85.2,87.43333333333334,-3.23,-3.39,-3.21,-3.276666666666667,-3.61,-1.49,-0.5,-0.65
001,1932,6.04,9.32,37.5,49.0,48.4,37.2,89.6,84.2,85.86666666666666,-0.7,-0.96,1.22,-0.14666666666666664,-0.75,-0.99,3.66,0.8666666666666667
001,1933,1.74,2.7,35.6,48.3,56.3,37.0,90.2,82.0,88.46666666666665,-2.73,-3.51,-3.34,-3.1933333333333334,-1.29,-3.18,-0.57,-2.8233333333333337
001,1934,2.65,1.28,36.3,53.8,48.4,43.6,97.3,91.4,93.8,-7.44,-8.33,-8.83,-8.200000000000001,-6.82,-4.97,-4.09,-4.333333333333333
001,1935,2.34,4.4,35.7,44.1,52.0,37.9,93.1,87.0,85.60000000000001,-3.04,-3.43,-4.0,-3.49,-4.79,-2.1,-2.78,-0.37333333333333335
001,1936,3.37,2.64,32.6,53.9,56.9,39.3,100.5,95.5,93.63333333333333,-2.25,-3.58,-4.48,-3.436666666666667,-1.79,-4.68,-3.8,-3.4733333333333327
001,1937,4.84,2.5,37.0,50.3,52.1,38.1,89.7,91.7,87.60000000000001,-1.97,-2.13,-2.57,-2.223333333333333,-1.27,-1.09,-1.97,-1.8533333333333333
001,1938,1.37,0.96,38.9,48.1,54.0,44.4,92.1,89.5,88.03333333333335,-4.06,-4.13,-4.05,-4.079999999999999,-3.85,-1.46,-1.04,-1.4366666666666668
001,1939,3.09,2.8499999999999996,35.2,52.0,54.1,40.0,89.3,81.7,84.73333333333333,-3.67,-3.48,-2.99,-3.3800000000000003,-4.48,-0.54,0.4,0.30333333333333334
001,1940,2.79,1.05,35.3,44.3,52.2,44.0,89.7,80.3,84.43333333333334,-3.14,1.23,1.97,0.019999999999999945,-3.14,3.69,2.61,1.7766666666666666
001,1941,3.6499999999999995,3.6399999999999997,41.7,53.1,54.9,43.8,87.9,87.9,85.13333333333334,0.83,-0.46,-0.85,-0.16,-1.31,-1.39,-1.3,-0.06666666666666658
001,1942,4.97,4.65,40.7,48.1,49.8,39.6,86.3,82.7,83.19999999999999,2.91,3.62,3.24,3.2566666666666664,2.97,3.03,-0.03,1.2433333333333334
001,1943,1.81,1.6400000000000001,35.9,46.1,47.5,38.2,86.6,84.2,83.86666666666666,2.06,1.92,1.97,1.9833333333333334,1.37,0.2,0.75,1.1466666666666667
001,1944,2.48,1.3599999999999999,34.2,52.9,52.8,40.7,84.4,81.9,82.60000000000001,1.54,1.5,2.28,1.7733333333333334,1.78,0.36,2.8,0.9966666666666666
001,1945,3.75,2.79,36.3,43.8,51.1,39.0,83.8,84.0,80.3,2.63,0.02,-0.71,0.6466666666666666,2.86,0.07,-2.13,-0.6233333333333333
001,1946,3.73,2.73,41.2,44.7,50.4,42.3,85.2,79.5,81.96666666666667,0.51,0.03,1.37,0.6366666666666667,0.14,-1.28,4.04,1.2966666666666666
001,1947,1.5299999999999998,1.13,35.1,43.3,54.0,48.8,85.5,93.7,85.13333333333333,4.3,-0.63,-1.56,0.7033333333333333,2.36,-1.89,-2.98,0.5566666666666668
001,1948,3.4699999999999998,3.4699999999999998,41.2,46.4,54.1,37.1,86.7,84.1,83.76666666666667,-2.39,-1.37,-1.66,-1.8066666666666666,-1.93,2.31,-1.29,-0.31666666666666665
001,1949,5.700000000000001,4.87,35.6,51.7,45.0,41.5,85.9,83.3,84.06666666666666,1.47,1.64,-0.3,0.9366666666666666,0.86,0.96,-0.89,0.7199999999999999
001,1950,3.5999999999999996,1.3399999999999999,30.6,47.4,49.4,43.8,79.9,77.3,78.89999999999999,0.83,1.3,1.62,1.25,0.71,1.66,1.38,1.21
