year,o3_mean_ppm,o3_4thmax_ppm,o3_90pct_ppm,monitors,counties
1980,0.0453388095238095,0.0793333333333333,0.0683809523809524,21,6
1981,0.0383328888888888,0.0645,0.0548333333333333,18,5
1982,0.0400873888888888,0.0663333333333333,0.0576111111111111,18,5
1983,0.0462636666666666,0.0838095238095238,0.0703809523809523,21,5
1984,0.0375428095238095,0.071,0.0596190476190476,21,5
1985,0.0368176666666666,0.0600416666666666,0.0520416666666666,24,5
1986,0.0307246111111111,0.0587222222222222,0.0481666666666666,18,4
1987,0.0311240555555555,0.0588333333333333,0.0486111111111111,18,4
1988,0.035053,0.0666666666666666,0.0553333333333333,18,4
1989,0.0356745,0.0654999999999999,0.0541111111111111,18,4
1990,0.0329032222222222,0.0578333333333333,0.0470555555555555,18,4
1991,0.0357581428571428,0.0616666666666666,0.0523809523809523,21,5
1992,0.0382719444444444,0.076,0.0596666666666666,18,4
1993,0.0345181111111111,0.0599444444444444,0.0487222222222222,18,4
1994,0.0335592,0.0604,0.0504,15,3
1995,0.0392355,0.07,0.0558888888888888,18,4
1996,0.0370336666666666,0.0666,0.0548,15,4
1997,0.0403245555555555,0.0638888888888888,0.0568888888888888,27,8
1998,0.0411809411764705,0.0677647058823529,0.0576862745098039,51,8
1999,0.045429909090909,0.0743939393939394,0.0627575757575757,33,9
2000,0.0434404444444444,0.07275,0.0600833333333333,36,10
2001,0.0411138333333333,0.0690833333333333,0.0576388888888888,36,10
2002,0.0433451282051282,0.0718461538461538,0.0615897435897435,39,11
2003,0.0433112564102564,0.0675897435897435,0.0597692307692307,39,11
2004,0.0389716666666666,0.0617692307692308,0.0535384615384615,39,11
2005,0.0441803076923076,0.0718461538461538,0.0619230769230769,39,11
2006,0.0405978461538461,0.065,0.0561025641025641,39,11
2007,0.042382282051282,0.0706153846153846,0.0581794871794871,39,11
2008,0.0401262564102564,0.0603333333333333,0.0526153846153846,39,11
2009,0.0390083333333333,0.0610666666666666,0.0541333333333333,45,11
2010,0.0422910444444444,0.0643111111111111,0.0556888888888888,45,11
2011,0.0417621777777777,0.0638888888888889,0.0555555555555555,45,11
2012,0.0466298222222222,0.0709999999999999,0.0630666666666666,45,11
2013,0.0412000444444444,0.0609999999999999,0.0545111111111111,90,11
2014,0.0398395,0.0614999999999999,0.0542111111111111,90,11
2015,0.0398522555555555,0.0601,0.0526222222222222,90,11
2016,0.0389916222222222,0.0620222222222222,0.0532333333333333,90,11
2017,0.0403283888888888,0.0606333333333333,0.0538111111111111,90,10
2018,0.0400430277777777,0.0662916666666666,0.0549305555555555,72,9
2019,0.0391231666666666,0.0601666666666666,0.0503749999999999,72,9
2020,0.037439375,0.0595833333333333,0.0498194444444444,72,9
2021,0.040709875,0.0622083333333333,0.0526527777777777,72,9
2022,0.0401955416666666,0.0579722222222222,0.0513611111111111,72,9
2023,0.045449375,0.0754583333333333,0.061625,72,9
2024,0.0427559743589743,0.0602948717948717,0.0534743589743589,78,10
