ag_district_code,n,lat,rmse_expanding,rmse_district_holdout,mean_resid_holdout,transfer_loss_pct
10,182,47.678,5.069,4.842,0.697,-4.475
40,275,45.569,4.329,4.316,-0.19,-0.296
50,248,45.13,6.034,5.977,-1.746,-0.941
60,140,45.513,6.928,6.916,-2.206,-0.182
70,202,43.985,4.751,4.843,-0.549,1.92
80,257,44.006,5.465,5.522,-2.062,1.054
90,180,44.001,5.227,5.1,-1.614,-2.415
