scenario,horizon,n_models,co2_ppm,dTmax_JA_C,plant_shift_days,r3_shift_days,end_shift_days,window_shift_days,edd_ratio,out_of_range_pct,climate_gbm_bu,climate_sr_bu,sr_min_bu,sr_max_bu,co2_none_bu,net_none_bu,co2_face_bu,net_face_bu,co2_saturating_bu,net_saturating_bu
ssp245,late_century,8,580.0,3.5297,-8.0864,-18.018,-7.5707,1.7931,4.2138,14.2266,-0.3711,3.9491,-0.8124,5.5514,0.0,3.9491,6.6973,10.6464,5.906,9.8551
ssp245,mid_century,8,510.0,2.9351,-6.0881,-14.4289,-6.0629,1.4384,3.3514,9.0198,0.2491,3.2931,0.8727,4.8913,0.0,3.2931,4.7811,8.0742,4.7811,8.0742
ssp585,late_century,8,890.0,6.7926,-12.4961,-27.1718,-11.4173,2.7192,10.6608,56.8076,-3.5899,-1.6674,-24.7795,3.2843,0.0,-1.6674,13.0768,11.4094,5.906,4.2387
ssp585,mid_century,8,580.0,3.6745,-8.321,-18.1508,-7.63,1.8031,4.4785,16.5558,-0.4161,4.1224,-3.6566,5.5362,0.0,4.1224,6.6973,10.8197,5.906,10.0285
