threshold_c,mean_plant_doy,bias_days,r_yearly
12,128.579,-12.133,
14,133.955,-6.757,
15,136.57,-4.142,
16,139.748,-0.964,
17,144.143,3.431,
18,149.056,8.344,
19,153.478,12.766,
20,157.002,16.29,
21,158.134,17.422,
22,156.586,15.873,
