scenario,delta_T_C,delta_P_pct,mean_delta_bu,pct_of_mean_yield,p10,p90,counties_worse
S1 Baseline,0,0,0.0,0.0,0.0,0.0,0
S2 +1C,1,0,0.6758,1.7162,-0.6295,1.9383,1
S3 -10% precip,0,-10,0.1665,0.4229,-0.662,1.1201,22
S4 +1C and -10% precip,1,-10,0.8078,2.0515,-0.9185,2.6466,1
S5 +2C,2,0,0.5273,1.3391,-2.693,3.0361,9
S6 +2C and -20% precip,2,-20,0.4646,1.1798,-2.8729,3.6089,13
