fips5,soil_clay_topsoil,soil_sand_topsoil,soil_silt_topsoil,soil_om_topsoil,soil_awc_topsoil,soil_ph_topsoil,soil_bd_topsoil,soil_ksat_topsoil,soil_cec_topsoil,soil_clay_subsoil,soil_sand_subsoil,soil_silt_subsoil,soil_om_subsoil,soil_awc_subsoil,soil_ph_subsoil,soil_bd_subsoil,soil_ksat_subsoil,soil_cec_subsoil,soil_aws_0_100cm,soil_slope,soil_drain_poorly_pct,soil_drain_somewhat_poorly_pct,soil_drain_well_pct,soil_drain_mod_well_pct,soil_mollisol_pct
18001,32.746418387790406,17.503283625182497,49.2016684556182,3.2608150097343387,0.20136877125038807,6.464222063556124,1.46233491935678,7.4701037549504115,24.8080150900227,40.27987757951838,17.617884294923524,41.57364553958459,1.394236545870556,0.13862449925962392,6.858813176893487,1.5725827714398535,2.2090980662724693,23.544079345858872,15.744778085685315,1.473847402399459,2.1808701720290724,46.90358924623671,0.9623019874183634,9.894579316179513,43.35571121326409
18003,30.080299324840535,21.898282164901406,46.63415517555192,3.890307367761646,0.19168602509441002,6.491486150370796,1.4430144313232565,6.994696187393351,24.507623799336706,37.79418570809867,22.31183486274187,38.62296941420615,1.9971424138639378,0.130936662202843,6.850965289387467,1.5712482061769717,3.8275265331713175,24.05817199162984,14.916147107031309,1.5829824566956525,5.661689558637707,34.72495907008563,4.2407915994879195,19.158440383462654,23.246206614705876
18005,19.26040264394806,23.713102492441795,57.0262704049993,1.995578502837597,0.20190144284246905,6.111103831679269,1.445977850434138,10.009098523488701,13.840407986964479,26.11557885303709,28.268881717132345,45.61333626195084,0.7648795816662757,0.15995399066896798,6.10445900332371,1.5304699236117987,13.27203464048376,15.641488941180748,17.16675119605859,5.149774969114171,12.53686587236173,28.17408408970095,30.76706445791153,25.97044981224969,16.171853962179256
18007,25.043457037194905,19.382025058467956,55.36987734121849,3.9950932446220566,0.21055124301613123,6.600023706204416,1.4319553947301766,9.085298431300995,21.27336735245362,27.35799231610209,29.94346590352993,42.44897941155141,1.4311248836099517,0.15477945615133926,6.8047976045264535,1.5547252488961383,8.330204239761123,16.831958339647308,17.151099221077683,1.8181571660722577,39.38172704894937,31.196434721127908,1.2543406627810505,24.52474471293576,90.52644640928374
18009,33.74677607268342,17.516826903358968,48.094997425991934,3.0050308739781393,0.1927938222288632,6.514435994442155,1.4786812678773107,5.985694299474629,23.33661803391304,39.06233575004111,19.22312301993359,41.11071806987469,1.544313434755682,0.10761750986769333,7.1342908629557025,1.602337491967512,2.2140647536999345,22.73210471273494,13.31704035760443,1.7733970577391047,0.0,28.665105818155002,0.7429005002736175,36.352805452167395,32.86388210774706
18011,21.603242152426333,20.868031690603008,57.528726156970656,2.983615988193317,0.20862144229429241,6.561627299047783,1.422659440727472,9.257978220420753,16.34472151196847,28.463724874520796,26.536990751876086,44.99928437360311,1.0693477837084175,0.15914189227578557,6.896508466879914,1.5407668114697217,8.366159094244855,19.030627845386945,17.39857572813376,1.4444805207016158,39.1770639645374,41.577494463480434,4.2602831863987864,14.527227101678783,39.36634369748522
18013,16.461612525584567,12.215373490776196,71.32302015981733,1.7308232148067695,0.18318493090081872,4.877295650993843,1.41214201376368,13.53716448469679,8.949930773277655,20.28555236116917,16.981129272378205,62.73224651981045,0.4698191392323451,0.1282237887788856,4.799411394240911,1.4588772175404259,17.931096497077732,9.487222411313928,13.871354509366931,25.81301092307446,0.10766689602441096,2.3632188857322127,87.6688475624253,9.850498895890683,0.00416892021643342
18015,19.961851525793094,22.303102679957696,57.182724499548044,2.899320357768574,0.2031562171865973,6.294524220981919,1.432290718960644,11.504892471217653,17.444664407616855,26.39497118240095,25.90446045320254,47.15123363643517,1.3973472127575364,0.16519228814496473,6.467575115069125,1.51068919044061,12.426622028541592,18.952294855422313,17.621129739191304,2.6548824051103836,21.491614344478357,36.2875842576773,24.90298135090865,11.876114105568279,28.147309660959273
18017,16.811113200770173,31.753390114977673,49.17412057989612,4.046822179291715,0.19039125568615606,6.366184611842594,1.4346418842610362,18.55354041543778,17.806525984373643,23.09239417773789,36.6886248798021,38.53684752936872,2.10985302756873,0.1458973122495691,6.526152692156476,1.5389851218570723,17.862175672745426,18.698299733110225,15.867642806095597,3.1824102966400276,29.80188921943147,23.80726396188307,29.89978570926016,8.207378443235278,31.093718751833034
18019,20.964012028273235,10.510877055610129,68.52528842104505,1.5148167474874812,0.19753043871691273,5.557315600640688,1.4507660579325574,9.167089765335781,12.159563883248936,29.831342113969566,12.254036032143418,57.91462185388702,0.4725568751010014,0.15517511481358484,5.085146379937372,1.5163370324902863,7.832552963739072,15.05156877719284,16.22252436052444,10.715787698079026,3.367918369975411,10.76672390222063,55.73837103130752,30.06313897522217,0.8672656572650407
