fips5,irrigated_acres_avg,total_acres_avg,irrigated_frac_avg,any_suppressed,census_years_reported
18001,0.0,123394.5,0.0,True,2
18003,195.5,181069.5,0.0011154178335427915,False,2
18005,5514.0,77774.5,0.07666122597204586,False,2
18007,1577.0,124295.5,0.015034649957825268,False,2
18009,0.0,49457.5,0.0,True,2
18011,,126312.5,0.0,False,2
18013,,2416.5,0.0,False,2
18015,0.0,103719.0,0.0,True,2
18017,226.5,95023.5,0.00278868765467059,True,2
18019,0.0,42958.5,0.0,True,2
18021,315.0,82744.5,0.0038220501706930435,False,2
18023,0.0,134311.5,0.0,True,2
18025,,6690.0,0.0,False,2
18027,1061.0,76908.5,0.017199176514451523,True,2
18029,,9062.5,0.0,False,2
18031,,93515.5,0.0,False,2
18033,1232.0,92631.0,0.013334668546715089,False,2
18035,390.0,109571.0,0.0024652027155156065,False,2
18037,,56412.0,0.0,False,2
18039,8926.5,58205.5,0.1538715335083764,False,2
18041,,39368.5,0.0,False,2
18043,,5046.0,0.0,False,2
18045,341.5,91729.0,0.004379496518204086,True,2
18047,0.0,46039.5,0.0,True,2
18049,6816.5,83148.5,0.09191600795422825,False,2
18051,2965.5,126860.0,0.023418061279918766,False,2
18053,0.0,117089.5,0.0,True,2
18055,123.5,63915.5,0.0018227975145012028,True,2
18057,0.0,69809.0,0.0,True,2
18059,0.0,105552.5,0.0,True,2
18061,0.0,45494.0,0.0,True,2
18063,,70055.0,0.0,False,2
18065,0.0,93249.5,0.0,True,2
18067,0.0,81079.0,0.0,True,2
18069,0.0,130472.5,0.0,True,2
18071,3238.5,80423.0,0.04448072184293559,False,2
18073,6754.0,115422.0,0.05799118703167677,False,2
18075,88.0,117911.5,0.0009780929410587857,True,2
18077,0.0,39909.0,0.0,True,2
18079,0.0,63640.0,0.0,True,2
18081,562.0,61619.0,0.010492513349016094,True,2
18083,10257.5,159169.0,0.06532612727377765,False,2
18085,10059.5,117291.0,0.08754346880288541,False,2
18087,12261.5,45644.0,0.2810971422261679,False,2
18089,803.5,58417.5,0.015372440493546524,False,2
18091,27367.0,110351.5,0.24937006525666955,False,2
18093,,33409.5,0.0,False,2
18095,294.5,114864.5,0.002206025558435332,True,2
18097,,8784.0,0.0,False,2
18099,6204.5,84682.5,0.0773880382139693,False,2
18101,0.0,19050.0,0.0,True,2
18103,1132.5,100995.0,0.012552550845415249,False,2
18105,,6121.0,0.0,False,2
18107,429.0,142629.5,0.0024090431774661807,True,2
18109,0.0,62712.0,0.0,True,2
18111,0.0,79549.0,0.0,True,2
18113,5809.5,81523.0,0.07379566151858137,False,2
18115,,4091.0,0.0,False,2
18117,,30893.5,0.0,False,2
18119,0.0,29785.0,0.0,True,2
18121,1819.5,70341.5,0.02649400827833398,False,2
18123,0.0,16645.0,0.0,True,2
18125,0.0,38473.5,0.0,True,2
18127,4246.5,58382.0,0.08039666314251812,False,2
18129,7940.0,109693.0,0.0715517342924945,False,2
18131,9036.0,94846.0,0.10193837626851103,False,2
18133,223.0,74320.0,0.0035528223429509135,True,2
18135,0.0,133074.0,0.0,True,2
18137,0.0,81810.0,0.0,True,2
18139,374.0,95921.0,0.0023749349115432,False,2
18141,6028.0,68516.0,0.09134856108656536,False,2
18143,375.0,21951.0,0.012573766094420602,True,2
18145,2307.0,121878.5,0.021426751958802382,False,2
18147,0.0,72420.0,0.0,True,2
18149,11146.5,47339.0,0.23768701055957356,False,2
18151,2930.0,39880.0,0.07198121708030128,False,2
18153,4704.0,79941.0,0.061406255377995565,False,2
18155,0.0,13106.0,0.0,True,2
18157,1508.0,113098.5,0.014349810516233982,False,2
18159,0.0,91768.0,0.0,True,2
18161,,37671.0,0.0,False,2
18163,560.0,32614.5,0.01576166999754198,False,2
18165,0.0,48597.0,0.0,True,2
18167,636.0,56821.5,0.010998705975884766,False,2
18169,1625.0,98974.5,0.019726836255734792,False,2
18171,1623.5,88868.0,0.019451196086957986,False,2
18173,0.0,53591.5,0.0,True,2
18175,0.0,76383.0,0.0,True,2
18177,0.0,69926.5,0.0,True,2
18179,,128066.5,0.0,False,2
18181,1089.5,127492.5,0.008874171989665582,False,2
18183,442.0,86189.0,0.006492743404430343,True,2
