fips5,soil_clay_topsoil,soil_sand_topsoil,soil_silt_topsoil,soil_om_topsoil,soil_awc_topsoil,soil_ph_topsoil,soil_bd_topsoil,soil_ksat_topsoil,soil_cec_topsoil,soil_clay_subsoil,soil_sand_subsoil,soil_silt_subsoil,soil_om_subsoil,soil_awc_subsoil,soil_ph_subsoil,soil_bd_subsoil,soil_ksat_subsoil,soil_cec_subsoil,soil_aws_0_100cm,soil_slope,soil_drain_poorly_pct,soil_drain_somewhat_poorly_pct,soil_drain_well_pct,soil_drain_mod_well_pct,soil_mollisol_pct
19001,32.2259257524227,11.290686994791205,56.48290202975719,2.9418016618428826,0.19584337613559608,6.188453683634105,1.362984622279487,3.4858596735786103,25.65534669463137,34.680404873149726,11.584264353299616,53.73423917605554,1.290937109310238,0.17483463049363393,6.176844550008546,1.3815082338485205,2.835134336926933,26.59598890816487,18.11092804326853,7.5989923729961495,19.410326725474857,21.66408563032667,19.623896655341806,39.20195111972378,47.94106833342087
19003,32.658235314855496,11.297110465161992,56.04465421998252,2.801519165552604,0.19703012753447632,6.203367798762141,1.3649284024812967,3.4049984463488547,25.875163332928032,35.80071343352305,10.889295660955282,53.309990905521666,1.2411235382175705,0.16949774399762257,6.218192277114763,1.3856614579828959,2.197120316537956,27.14267351526583,17.775745905867865,7.487345568871889,21.700003576159645,18.98243420817358,18.936625124880255,38.561984357725535,44.43600538402248
19005,21.632823315698925,13.656357534926775,64.58055328659987,2.0200311491226777,0.2047675068846951,6.402826904788253,1.3620285109731793,12.41242940928448,18.949516990887926,26.39804432094933,14.478396463435399,59.14676731162859,0.6789229192650386,0.16786188531357074,6.199760711722432,1.3848729893604212,11.171111531131675,19.057717879600336,17.054741279399984,16.192047618461682,4.030747366619625,1.6964996564886443,84.75135234344191,5.725240519954662,17.34242005610272
19007,27.589043208533305,19.082673203714812,53.32236751168632,2.3680307594755985,0.19438756250433206,6.130338540311353,1.4037272649514025,5.961368449680852,23.71169212042097,38.437157417867645,17.03674622924914,44.50751703630485,0.7967898622559492,0.1487378512544305,5.933175837543311,1.425297694115489,2.1816362453225695,29.23992778743851,16.19317303643389,7.591759860870231,31.72779471026321,40.06429172617833,18.27257830034687,9.291907901448685,40.06358077433177
19009,30.768298787259752,8.390972215398424,60.841413202729846,2.509776255452423,0.20221555198568844,6.168637058712634,1.3343933624538222,3.5425200154875127,24.751134429699352,30.80300330449497,8.55578797818083,60.64217016033546,1.3255054862564497,0.1840482926674876,6.341999419167688,1.3271306357595924,3.3512872118198564,24.008657187079425,18.94984704629478,7.995759974687684,12.788789390345503,11.765806571717167,70.98632384616964,3.9566208057895556,32.81674194532511
19011,25.46161208148039,16.001224756457148,58.53690502115407,3.4508886351889987,0.18396296511986435,6.284005702793406,1.3520306619424014,8.298639873728634,22.132656663731762,27.74939435651492,19.97797209806956,52.24658906734552,1.6674763129551686,0.1691432332828008,6.141349723514051,1.442484819780261,8.527997052803979,22.892491988441805,17.307715916183426,4.439160856183806,18.934147568500975,17.213507777209045,22.705595037744565,35.67685820316492,77.48682964528312
19013,23.083949858796142,31.193053795059228,45.72294836059194,4.462341968822887,0.1810131359968644,6.320763131215508,1.3571993850158117,13.729562073338327,21.39615335192841,23.288644683549304,38.27040792480341,38.44089952300944,1.9243586935836423,0.1560745934435046,6.262981314298019,1.5131319685275693,20.489893311335535,19.939447842647525,16.34207846026075,2.319157419479101,25.492962982869376,26.118155542276504,10.3953956257014,26.861048608585598,92.56030534053805
19015,25.728947414402274,35.600091222172935,38.66767439224936,4.8021999556856665,0.18973013329659605,6.798594428555217,1.2454531189713562,7.9599153860283565,22.174575969232535,24.39711031536473,39.26016969718398,36.34299567644428,1.8373666998085283,0.17470129822902192,7.228346812616257,1.4283713063277241,10.923459653608207,19.201041681512162,17.91989007198209,4.551421663509557,36.34864680557947,15.054446013432067,32.54810263475116,5.9838705011193385,85.46142793180644
19017,22.99772828828374,32.33775808340381,44.664481519591796,4.784698262508749,0.17374668065133078,6.399034311862127,1.355757670008055,12.069231447886235,20.815183575236198,22.57046595674758,41.62458805476055,35.80491381888509,1.9565775639039331,0.14780157720898715,6.481734452202388,1.5430136157545518,19.91621063493478,18.912437569777218,15.500982448667672,2.248390177212755,29.17284141898204,35.38838973608369,15.27980328536296,12.514885846102725,88.68467787001914
19019,21.667403792252415,36.62517034529649,41.70740678732736,5.151530016597122,0.18210979845429148,6.335426291005543,1.367746587252637,14.546955779540225,21.158757125683014,22.225742029420022,43.68711454685832,34.08712434739916,2.264594522976144,0.15583340108053004,6.320779099694122,1.5348239999012891,19.47401909434329,19.261502954894173,16.278296647150686,2.325786424160822,24.541162902344677,30.723549958889517,13.179401718362865,21.016786319315305,84.91969661017885
19021,30.502365623473104,23.660444869611194,45.838846830324385,4.984169928866923,0.19751251516185847,6.591006178337861,1.2255239225591525,4.249678864146289,25.659304074655598,27.90505235233247,27.823273943368783,44.282045811177156,2.1296148752244113,0.18187680564695605,7.142354697533261,1.375490239188143,6.79819124895797,22.32600144356687,18.65675185014268,2.9316676269404587,30.5574785303715,22.06904960200975,15.176339035812298,24.912048933003835,95.67268134838824
