model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19009,1,1.62951260524369,1.3014722417141795,0.9294507889454148,0.0201052824323255
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19017,1,1.4644909769465355,1.1566481056493103,1.024226364326896,0.5269373238233186
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19021,1,1.7853096262220447,1.3050960423246352,0.9884372461844408,0.4364326021760121
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19031,1,1.3222926882701245,1.187740378893352,0.9866830523230864,0.5670682172764572
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19039,1,1.5472780727864688,1.3012722133100851,0.9405802044132228,0.1097393943769589
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19045,1,1.3195021769471396,1.1886602265446982,0.9919674287383228,0.6922812682397819
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19047,1,1.664964492858303,1.3054486303910269,0.9365124003290204,0.0981972127064665
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19055,1,1.3663355585856607,1.162336080337809,1.013164470558134,0.668942481015776
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19063,1,1.7981279505116277,1.329642237276346,1.0174043326405104,0.118903887214472
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19067,1,1.603203300489156,1.2143114098579986,1.0145059042549052,0.247728262709387
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19079,1,1.7197360377593327,1.263655285870641,0.9988626729068922,0.4060480094211556
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19087,1,1.27969997420729,1.2144028573289916,0.9608373906162996,0.3202760905712409
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19095,1,1.3294997162851132,1.1958644012771629,0.9773047194335456,0.4379876960815352
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19105,1,1.3447972340160843,1.1771304138271148,1.0008991980743207,0.6557217643254205
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19113,1,1.3458975127508666,1.173424287758678,0.9981695572314884,0.5673963256525809
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19121,1,1.627928578994215,1.3054138354656857,0.947808300114292,0.1616979025157832
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19125,1,1.498266007082691,1.2657467755439598,0.9564293841651484,0.2688049560617713
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19137,1,1.5243319108340074,1.30950383172285,0.8907908136311994,-0.2656764835702461
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,19141,1,1.7443919678249813,1.3099407408648744,1.0055209956923288,0.3740354580260145
