fips5,year,plant_doy,r1_doy,r3_doy,start_doy,r5_doy,end_doy,end_driver,r6_doy,r8_doy,frost_doy,matured_before_frost,days_r8_to_frost,window_days,podfill_days,seedfill_days,season_days,win_gdd,win_edd,win_hot_days,win_vpd_mean,win_vpd_max,win_prcp_mm,win_et0_mm,win_tmax_mean,win_water_deficit_mm,season_gdd,season_edd,season_prcp_mm,wb_stress_days,wb_min_water_frac,wb_season_deficit_mm
19001,1981,146,193,208,211,233.0,263,208.0,259.0,287.0,295,1,8.0,53,53,,118,586.6622819447769,1.224033732506602,0,1.021753265094373,1.6440391837543744,162.93,218.71070406363708,27.28188679245283,55.780704063637074,1417.8804735463013,18.6908421309819,412.28,6,0.39187716789170274,1.9731633507605988
19001,1982,134,201,216,214,243.0,265,216.0,281.0,,293,0,,52,52,,132,521.7829999429259,0.7238819909833603,0,0.6496849079810765,1.2043272640725478,215.23,173.2844709735354,25.003269230769238,-41.945529026464584,1292.627809899819,0.8147957322418005,549.1800000000001,0,0.6266251953034145,0.0
19001,1983,163,208,221,216,239.0,266,221.0,262.0,290.0,314,1,24.0,51,51,,104,681.8938839417082,45.033300043134055,20,1.6695691965446713,3.2528096319232715,123.05999999999999,249.78463691353323,30.76843137254902,126.72463691353325,1405.5814077570858,56.77077622775632,305.47,46,0.17250196653569122,110.64266193723333
19001,1984,143,203,219,215,242.0,265,219.0,277.0,,297,0,,51,51,,123,601.027806362729,11.59685933053305,4,1.259736828414093,2.6332459325671698,58.86,225.14762867113083,28.56960784313726,166.28762867113085,1343.4880379476551,12.062060457245082,407.66,38,0.1855833462179914,78.10550881631073
19001,1985,131,192,207,211,231.0,262,207.0,252.0,295.0,308,1,13.0,52,52,,132,622.6778738969433,12.966000815556772,5,1.1971431575220564,2.1059481106542064,121.23000000000002,215.5813645209786,28.501153846153848,94.35136452097859,1482.298231004812,33.450170976777486,333.53000000000003,45,0.2080237510624124,63.59405747625474
19001,1986,130,192,207,211,235.0,262,207.0,269.0,,287,0,,52,52,,133,461.83287711667646,0.011255771226977329,0,0.5912169130715451,1.0129362219183005,225.60999999999999,166.7253696652815,24.000000000000004,-58.88463033471848,1319.9949432081048,0.6156558430630675,605.74,5,0.48450822555000983,0.20168046202555212
19001,1987,133,187,203,209,223.0,261,203.0,253.0,288.0,283,0,-5.0,53,53,,129,548.6545758411431,6.48345744214156,3,0.7008014662772163,1.7807487893218528,297.88,182.89320957256177,25.519056603773585,-114.98679042743822,1447.983409415634,9.878057440300989,643.65,6,0.40737881350822264,2.674276153902711
19001,1988,132,180,194,206,213.0,259,194.0,229.0,241.0,300,1,59.0,54,54,,128,757.9689086816222,58.61310951972305,22,2.076001342352978,3.617712701872609,123.79,301.5812162871661,32.364629629629626,177.7912162871661,1746.4640789290045,112.18267921619281,276.89,54,0.07108725326014928,232.7618760657024
19001,1989,138,192,208,211,230.0,263,208.0,256.0,298.0,291,0,-7.0,53,53,,126,589.0459702949466,5.238720283151862,1,1.000675429415328,2.1484695960983347,261.12,210.95651134293786,26.936792452830183,-50.163488657062146,1437.22681329845,23.270876871214355,544.68,25,0.2651313047362661,33.169230956470265
19001,1990,161,209,230,219,249.0,268,230.0,289.0,,308,0,,50,50,,108,595.0239261525643,10.059197764853863,5,1.0243395121607262,2.22873765161304,87.13999999999999,203.90524067541574,27.9754,116.76524067541575,1290.1874346049467,12.862616881159315,443.31,23,0.2259507105663398,36.59338717373349
19001,1991,133,183,200,208,223.0,261,200.0,245.0,257.0,292,1,35.0,54,54,,129,674.0750406082776,10.40859268487134,2,1.2299739173509248,2.132523314365645,158.93000000000004,237.68392843706846,28.91666666666666,78.75392843706842,1590.4853319384217,14.303301354727097,426.56999999999994,52,0.17477478814861008,96.06888780847005
19001,1992,142,204,224,217,258.0,267,224.0,,,291,0,,51,51,,126,452.636756143985,0.06076055489547519,0,0.7475640888999496,1.5066425658916558,235.98,179.5078110549999,24.643725490196076,-56.472188945000084,1183.716165409268,1.737318701807316,518.93,2,0.47076277951081075,0.16918270624424236
19001,1993,131,198,215,214,239.0,264,215.0,,,283,0,,51,51,,134,469.5893345512927,0.08866227262385311,0,0.4041816376649576,0.6518559813028255,271.03000000000003,151.1860872758475,23.674705882352946,-119.84391272415252,1268.8738112096707,0.09032156724761571,834.3900000000001,0,0.8065794994744663,0.0
