scenario,horizon,max_viable_mg,seedfill_at_max,seedfill_at_3_5,edd_at_max,edd_at_3_5,frost_margin_3_5,mature_3_5
baseline,baseline,,23.02,28.5108,20.0738,25.4541,30.5112,0.644
ssp245,late_century,5.0,22.9046,19.5529,57.4517,50.3859,66.5755,0.991
ssp245,mid_century,4.0,21.769,20.5163,45.6924,43.5787,58.9538,0.9694
ssp585,late_century,5.0,19.3453,17.2021,103.2632,89.0201,97.1073,1.0
ssp585,mid_century,5.0,22.3136,19.2474,59.8619,52.2104,68.1467,0.9944
