ag_district_code,n,lat,rmse_expanding,rmse_district_holdout,mean_resid_holdout,transfer_loss_pct
10,249,43.114,4.326,4.193,0.177,-3.088
20,259,43.077,4.668,4.679,-0.817,0.245
30,256,42.884,5.442,5.562,-0.72,2.197
40,278,42.036,4.522,4.416,-0.24,-2.355
50,280,42.043,4.592,4.63,-0.616,0.817
60,230,41.841,4.84,4.834,-0.634,-0.129
70,178,40.98,4.358,4.421,-0.329,1.453
80,222,40.963,4.831,5.044,-0.254,4.407
90,255,41.0,4.584,4.716,-0.584,2.894
