metric,r_panel_raw,r_year_detrended,part,coef_bu_per_ppb,p_value,effect_of_1sd_bu,delta_r2,corr_with_edd,corr_with_water,se,n_years
4th-highest 8-h value,-0.11344,-0.14343,correlation,,,,,,,,
90th-percentile 8-h value,-0.16187,-0.2007,correlation,,,,,,,,
annual mean 8-h value,-0.1505,-0.20798,correlation,,,,,,,,
4th-highest 8-h value,,,panel,-0.01196,0.88597,-0.06764,0.00013,0.37812,-0.28649,,
90th-percentile 8-h value,,,panel,-0.03242,0.78171,-0.15015,0.0006,0.44535,-0.37023,,
annual mean 8-h value,,,panel,-0.11651,0.46779,-0.3903,0.00431,0.36768,-0.30925,,
4th-highest 8-h value,,,year_level,-0.01191,0.92316,,,,,0.12269,44.0
90th-percentile 8-h value,,,year_level,-0.03751,0.81198,,,,,0.15664,44.0
annual mean 8-h value,,,year_level,-0.07673,0.71714,,,,,0.21026,44.0
