stage,median_gdd,p25,p75,sd,cv_pct,my_threshold,threshold_error,n_years
blooming,603.0,584.0,648.0,43.0,7.0,603.0,-0.0,44
leaves,1403.0,1326.0,1493.0,136.0,9.7,1403.0,-0.0,44
pods,812.0,769.0,884.0,72.0,8.8,812.0,0.0,41
