stage,n,bias_days,rmse_days,observed_sd_days,corr,skill_pct
blooming,44,-0.1,3.2,5.7,0.92,45.0
pods,41,0.4,5.4,4.9,0.85,-11.0
leaves,38,0.5,14.4,4.3,0.61,-233.0
