scenario,horizon,n_models,co2_ppm,dTmax_JA_C,plant_shift_days,r3_shift_days,end_shift_days,window_shift_days,edd_ratio,out_of_range_pct,climate_gbm_bu,climate_sr_bu,sr_min_bu,sr_max_bu,co2_none_bu,net_none_bu,co2_face_bu,net_face_bu,co2_saturating_bu,net_saturating_bu
ssp245,late_century,7,580.0,3.0561,-9.3381,-17.2774,-4.2426,1.8601,3.105,8.318,0.558,0.4261,-1.2363,1.0294,0.0,0.4261,7.8481,8.2743,6.9209,7.3471
ssp245,mid_century,7,510.0,2.4616,-7.1422,-13.6107,-3.3464,1.4604,2.4909,5.0296,0.5154,0.6918,-0.4174,0.9139,0.0,0.6918,5.6026,6.2945,5.6026,6.2945
ssp585,late_century,7,890.0,5.8412,-13.8656,-25.5373,-6.2683,2.7473,6.7493,40.0706,-0.5458,-3.95,-11.5196,-2.8021,0.0,-3.95,15.3238,11.3738,6.9209,2.9709
ssp585,mid_century,7,580.0,3.0972,-9.3552,-17.1531,-4.2148,1.8434,3.1452,8.3838,0.4235,0.418,-1.1376,0.9437,0.0,0.418,7.8481,8.2662,6.9209,7.3389
