threshold_c,mean_plant_doy,bias_days,r_yearly
12,124.278,-16.141,0.175
14,128.644,-11.775,0.299
15,131.5,-8.919,0.309
16,134.585,-5.834,0.258
17,137.724,-2.695,0.272
18,141.71,1.29,0.354
19,146.327,5.908,0.359
20,151.465,11.046,0.3
21,156.363,15.944,0.265
22,159.904,19.485,0.046
