driver,series,slope,se,r,p,intercept,n,loo_skill_pct
r3 (days),start (pods),0.35316,0.06718,0.64398,1e-05,211.50398,41,19.60342
r3 (days),end (leaf drop),0.24502,0.07087,0.48436,0.00133,262.88277,41,8.39766
r3 (days),WINDOW LENGTH,-0.10814,0.04396,-0.3665,0.01843,51.37879,41,1.99066
gdd (GDD),start (pods),-0.0226,0.00482,-0.60033,3e-05,211.46012,41,15.9195
gdd (GDD),end (leaf drop),-0.02003,0.00454,-0.57691,8e-05,262.88057,41,14.37127
gdd (GDD),WINDOW LENGTH,0.00257,0.00322,0.12668,0.42996,51.42044,41,-4.33235
