ag_district_code,n,lat,rmse_expanding,rmse_district_holdout,mean_resid_holdout,transfer_loss_pct
10,275,41.806,5.522,5.509,-1.131,-0.242
20,162,41.784,5.409,5.401,-1.624,-0.146
30,204,40.451,4.594,4.506,-0.432,-1.911
40,230,40.494,5.044,5.029,-1.046,-0.297
50,163,40.546,5.355,5.298,-1.164,-1.056
60,290,39.387,4.669,4.631,-0.874,-0.813
70,345,39.155,4.621,4.722,-0.603,2.168
80,210,38.072,4.393,4.449,-0.288,1.29
90,203,38.04,4.177,4.198,-0.889,0.517
