driver,series,slope,se,r,p,intercept,n,loo_skill_pct
r3 (days),start (pods),0.4909,0.08764,0.66772,0.0,213.37428,41,21.57063
r3 (days),end (leaf drop),0.26636,0.08531,0.44718,0.00338,262.56735,41,6.26969
r3 (days),WINDOW LENGTH,-0.22454,0.0586,-0.52297,0.00045,49.19307,41,10.37614
gdd (GDD),start (pods),-0.03038,0.00741,-0.54866,0.0002,213.38323,41,12.09163
gdd (GDD),end (leaf drop),-0.02063,0.00638,-0.45986,0.00249,262.54559,41,6.62863
gdd (GDD),WINDOW LENGTH,0.00975,0.00494,0.30152,0.05539,49.16236,41,-0.26265
