scenario,horizon,n_models,co2_ppm,dTmax_JA_C,plant_shift_days,r3_shift_days,end_shift_days,window_shift_days,edd_ratio,out_of_range_pct,climate_gbm_bu,climate_sr_bu,sr_min_bu,sr_max_bu,co2_none_bu,net_none_bu,co2_face_bu,net_face_bu,co2_saturating_bu,net_saturating_bu
ssp245,late_century,8,580.0,3.0774,-10.2289,-17.6913,-7.1303,3.3713,3.4912,12.5352,0.5311,-1.9453,-8.3581,-0.8857,0.0,-1.9453,7.7103,5.765,6.7993,4.8541
ssp245,mid_century,8,510.0,2.5382,-7.6748,-13.8223,-5.6058,2.6496,2.8481,8.4091,0.293,-1.3834,-7.793,-0.4151,0.0,-1.3834,5.5042,4.1208,5.5042,4.1208
ssp585,late_century,8,890.0,5.4395,-14.5609,-26.093,-11.6401,5.5118,7.0362,47.104,-1.0384,-7.9866,-23.0621,-5.5276,0.0,-7.9866,15.0546,7.068,6.7993,-1.1873
ssp585,mid_century,8,580.0,3.0436,-10.1465,-17.5025,-7.1299,3.3771,3.4916,12.9325,0.6336,-2.2486,-9.6883,-0.6594,0.0,-2.2486,7.7103,5.4617,6.7993,4.5507
