threshold_c,mean_plant_doy,bias_days,r_yearly
12,122.875,-21.289,
14,125.571,-18.593,
15,127.865,-16.298,
16,130.988,-13.176,
17,134.646,-9.517,
18,138.351,-5.813,
19,142.678,-1.486,
20,146.956,2.792,
21,151.587,7.424,
22,156.694,12.531,
