scenario,delta_T_C,delta_P_pct,mean_delta_bu,pct_of_mean_yield,p10,p90,counties_worse
S1 Baseline,0,0,0.0,0.0,0.0,0.0,0
S2 +1C,1,0,0.0424,0.0943,-1.0173,0.9033,20
S3 -10% precip,0,-10,0.2108,0.4692,-0.3382,0.8662,4
S4 +1C and -10% precip,1,-10,0.2452,0.5457,-0.9653,1.3822,12
S5 +2C,2,0,-0.1463,-0.3256,-1.7968,1.3195,34
S6 +2C and -20% precip,2,-20,0.1014,0.2257,-1.6969,1.8051,25
