scenario,horizon,n_models,co2_ppm,dTmax_JA_C,plant_shift_days,r3_shift_days,end_shift_days,window_shift_days,edd_ratio,out_of_range_pct,climate_gbm_bu,climate_sr_bu,sr_min_bu,sr_max_bu,co2_none_bu,net_none_bu,co2_face_bu,net_face_bu,co2_saturating_bu,net_saturating_bu
ssp245,late_century,8,580.0,2.9858,-10.9486,-19.3681,-6.7402,3.1331,4.3121,6.906,-0.6144,-1.219,-7.2621,-0.1109,0.0,-1.219,7.6425,6.4236,6.7396,5.5206
ssp245,mid_century,8,510.0,2.3767,-8.2056,-15.105,-5.2561,2.444,3.2927,3.8141,-0.5602,-0.7879,-6.0085,0.0906,0.0,-0.7879,5.4559,4.668,5.4559,4.668
ssp585,late_century,8,890.0,5.2892,-15.8924,-28.6559,-9.9865,4.6099,9.5494,36.446,-4.1536,-6.8371,-22.0288,-4.6977,0.0,-6.8371,14.9224,8.0853,6.7396,-0.0975
ssp585,mid_century,8,580.0,2.9594,-10.8551,-19.1853,-6.6788,3.0967,4.2767,6.9723,-0.6559,-1.2801,-7.7611,-0.2591,0.0,-1.2801,7.6425,6.3624,6.7396,5.4595
