stage,n,bias_days,rmse_days,observed_sd_days,corr,skill_pct
blooming,41,1.4,4.6,6.6,0.88,30.0
pods,43,1.3,5.3,7.2,0.86,26.0
leaves,41,1.1,16.1,5.3,0.64,-203.0
