driver,series,slope,se,r,p,intercept,n,loo_skill_pct
r3 (days),start (pods),0.50887,0.08917,0.66086,0.0,217.39773,44,20.91572
r3 (days),end (leaf drop),0.34894,0.07803,0.56795,6e-05,260.38864,44,13.63303
r3 (days),WINDOW LENGTH,-0.15993,0.07231,-0.32298,0.03248,42.99091,44,1.31344
gdd (GDD),start (pods),-0.03535,0.00761,-0.58258,3e-05,217.39773,44,14.98307
gdd (GDD),end (leaf drop),-0.02717,0.00618,-0.56115,7e-05,260.38864,44,13.49165
gdd (GDD),WINDOW LENGTH,0.00818,0.00589,0.20969,0.17189,42.99091,44,-1.82903
