features,n_features,RMSE,MAE,R2,skill_vs_baseline_pct,gain_vs_calendar_pct
calendar (script 08),20,4.1037,3.08166,0.40571,23.0,0.0
both,38,4.35288,3.19781,0.33135,18.33,-6.07
process (script 18),18,5.21028,3.84269,0.04199,2.24,-26.97
baseline: anomaly = 0,0,5.32962,4.08353,-0.0024,0.0,-29.87
