fips5,year,plant_doy,r1_doy,r3_doy,start_doy,r5_doy,end_doy,end_driver,r6_doy,r8_doy,frost_doy,matured_before_frost,days_r8_to_frost,window_days,podfill_days,seedfill_days,season_days,win_gdd,win_edd,win_hot_days,win_vpd_mean,win_vpd_max,win_prcp_mm,win_et0_mm,win_tmax_mean,win_water_deficit_mm,season_gdd,season_edd,season_prcp_mm,wb_stress_days,wb_min_water_frac,wb_season_deficit_mm
27001,1981,145,206,226,215,,261,226.0,,,291,0,,47,47,,117,390.6039839219354,0.1867186655598259,0,0.8341986636573112,1.4925706984588998,112.28999999999999,164.246407337202,23.811489361702133,51.956407337201995,997.9469038140658,0.7782771955131345,371.5,0.0,0.6563648854576132,0.0
27001,1982,148,216,235,220,,265,235.0,,,293,0,,46,46,,118,323.534534181266,0.042803606758192635,0,0.8266526480826757,1.5055521249722907,133.92,154.92728404139584,22.398260869565217,21.00728404139585,904.7817436315019,1.0375532592711791,358.64000000000004,0.0,0.6339646802885293,0.0
27001,1983,163,211,228,216,300.0,262,228.0,,,287,0,,47,47,,100,477.99185116193286,2.8445437463227328,2,0.954079951241667,1.9282961212317613,150.69000000000003,172.30220101183502,25.39468085106383,21.612201011834998,1053.9949965253118,3.570064171746611,374.13000000000005,0.0,0.688181394928031,0.0
27001,1984,156,214,231,218,,263,231.0,,,270,0,,46,46,,108,407.24071887818104,4.450190836040073,1,1.0496812659036698,2.6714710993571424,74.68,167.83129563094408,24.725869565217394,93.15129563094408,971.4422174146621,4.663498712619162,321.36,1.0,0.48229527329654737,0.0
27001,1985,132,215,245,225,,269,245.0,,,282,0,,45,45,,138,233.96223758188466,0.0,0,0.49012312365989813,0.8277544029397985,163.56,108.12791178780952,19.534222222222223,-55.43208821219048,847.2617319055573,0.021461690403951895,536.58,0.0,0.9201470382634284,0.0
27001,1986,149,208,231,218,,263,231.0,,,282,0,,46,46,,115,253.45504222237668,0.0,0,0.5363002409320836,1.022171399369631,251.53,123.60849292107088,20.05021739130435,-127.92150707892912,871.651998525033,0.059540799512369735,551.8199999999999,0.0,0.9073582712198662,0.0
27001,1987,130,188,205,204,238.0,252,205.0,,,280,0,,49,49,,123,495.7319557449199,3.0696602181186146,1,1.0255027474525626,1.7124554548045854,109.42999999999999,195.08771628090142,25.77387755102041,85.65771628090143,1214.625656585861,5.397779132511723,347.65999999999997,2.0,0.4926080447818313,0.06139278765247003
27001,1988,128,182,198,201,225.0,249,198.0,260.0,,279,0,,49,49,,122,554.8471140681688,13.997373152514841,7,1.3263749199422143,3.2367748034450723,200.12,214.28412136557293,27.65510204081633,14.164121365572925,1325.048010091002,33.57752471140599,343.18,31.0,0.31190062654559403,32.9369563032283
27001,1989,138,200,215,210,257.0,256,215.0,,,276,0,,47,47,,119,452.9539350131015,3.6799858951786417,2,1.1043414586523015,2.604949296376997,167.74000000000004,183.703859159648,25.404468085106384,15.963859159647967,1106.5056632025087,9.557832139908939,357.15,21.0,0.3663885621697502,14.66938725297934
27001,1990,162,215,238,222,,266,238.0,,,283,0,,45,45,,105,365.5693941033326,0.11774663473417754,0,0.7623868233724949,1.431379229018319,172.27000000000007,143.3614845253758,23.335777777777775,-28.908515474624267,954.7279966256496,1.3567532060835936,357.47,0.0,0.7150758940458302,0.0
27001,1991,134,196,218,211,252.0,258,218.0,,,288,0,,48,48,,125,483.2058467915877,2.054502142490363,0,0.9780988760937049,1.896977731487385,144.6,187.33598681970034,25.673541666666665,42.735986819700344,1158.1413254901854,2.3966514973694175,477.19999999999993,1.0,0.4942545141994061,0.04567303492219921
27001,1992,142,220,246,226,,269,246.0,,,288,0,,44,44,,128,271.75793937375033,0.004949450360635227,0,0.7564534173157813,1.410874876740845,120.09000000000003,129.97676453084034,21.758181818181818,9.88676453084031,852.2838482590681,0.5611759794567128,387.08000000000004,0.0,0.8192285241554652,0.0
27001,1993,131,218,238,222,,266,238.0,,,275,0,,45,45,,136,297.85326192008165,0.08296796295633341,0,0.5793759451156473,1.3394707521945213,127.71000000000001,127.99120912576207,21.34444444444444,0.2812091257620608,855.0409950847592,0.08296796295633341,510.05,0.0,0.8844521220283532,0.0
27001,1994,142,204,227,216,286.0,261,227.0,,,307,0,,46,46,,120,387.4175342806223,0.07372062082406124,0,0.8478824870471666,1.5683184213309618,116.69,156.73339887735077,24.139782608695654,40.04339887735077,1037.379957608021,0.15479721065887841,402.15999999999997,0.0,0.5121604816715919,0.0
27001,1995,153,205,224,214,285.0,260,224.0,,,265,0,,47,47,,108,443.5098601930937,0.0,0,0.7780005246188499,1.4974301456469694,179.17000000000004,158.25672613738075,24.845319148936177,-20.91327386261929,1055.6730875535845,1.7357370334805242,381.88999999999993,0.0,0.7830265196619033,0.0
27001,1996,162,219,240,223,,267,240.0,,,296,0,,45,45,,106,392.0520340370196,0.14872294313127282,0,0.9861708344667758,1.630379105557334,58.65,164.70150331029018,24.72355555555556,106.05150331029017,945.8690011344324,0.3648687442286517,289.2100000000001,7.0,0.4660043313179324,0.40860794634765063
27001,1997,154,209,235,220,,265,235.0,,,293,0,,46,46,,112,345.9884379728369,0.0,0,0.7606833493434901,1.4120634173283229,112.98000000000002,143.76449065754105,22.834347826086958,30.784490657541028,979.9799095112157,0.22206836473485964,381.94,0.0,0.6205231968788114,0.0
27001,1998,135,199,219,212,253.0,258,219.0,,,306,0,,47,47,,124,521.6314328574293,1.7160182646889157,0,1.2417532741199715,2.0720481057522555,84.05000000000001,202.2045095630793,27.268936170212765,118.1545095630793,1167.9796576563815,1.9693304947194163,374.80999999999995,25.0,0.26095956224454564,28.408631386885553
27001,1999,150,207,228,216,,262,228.0,,,275,0,,47,47,,113,373.5642950772135,0.12013757459776343,0,0.6986881894621695,1.420324037363803,152.62999999999997,147.20553408104502,23.020425531914896,-5.424465918954951,989.9938857325747,0.8712593685804464,427.96999999999997,0.0,0.8482794005991001,0.0
27001,2000,127,203,221,213,270.0,259,221.0,,,280,0,,47,47,,133,440.37117661283247,0.8528009443021012,0,1.0711356516697834,1.9219750017562802,113.12,177.89553757223726,25.32148936170213,64.77553757223725,1068.0141729064078,1.4424758451814177,383.8,0.0,0.545770029771274,0.0
27001,2001,138,204,221,213,272.0,259,221.0,,,279,0,,47,47,,122,457.7923464818568,3.951675260296334,0,1.027281703999905,1.8972863015180668,78.31,188.5678737327637,25.59574468085107,110.2578737327637,1065.143951134589,3.9818771603980756,367.27,8.0,0.444337805332984,0.9400707967879771
27001,2002,151,201,222,213,262.0,259,222.0,,,288,0,,47,47,,109,438.61887368220346,0.15602058642336236,0,0.8353075028679544,1.4181722436273012,179.60999999999996,169.9194360203926,24.763404255319145,-9.690563979607361,1088.580316159938,2.6173902715977344,464.58000000000004,0.0,0.8417508376835352,0.0
27001,2003,165,218,233,219,,264,233.0,,,274,0,,46,46,,100,498.0517376231796,5.455821479067449,2,1.350049176570227,2.1881579566073617,96.71000000000001,195.57513380250725,27.34956521739131,98.86513380250724,1031.3160377047986,5.9144200635256645,302.8499999999999,17.0,0.3460166401237082,9.588880889947394
27001,2004,159,218,247,226,,270,247.0,,,278,0,,45,45,,112,355.3016443182269,0.3491945010904321,0,0.8432302554657596,1.6266483544803805,140.81,143.32136440220816,23.682444444444446,2.5113644022081587,929.7352475621667,1.9000812249317063,298.31999999999994,0.0,0.6567013747815802,0.0
27001,2005,154,201,218,211,255.0,258,218.0,,,297,0,,48,48,,105,511.94636354863434,6.980121618130746,3,1.2547006574776722,2.2115990128165492,85.94,203.5535866808744,26.978333333333335,117.61358668087439,1138.886247205167,15.563304225605558,261.57,33.0,0.2880083887689761,30.556042888604697
27001,2006,147,194,208,206,237.0,253,208.0,,,284,0,,48,48,,107,566.4569672955733,12.371933368843536,4,1.4895042319041505,2.809144622982149,79.77,222.23701957283703,28.358749999999997,142.46701957283705,1259.0788045530885,23.84673346377113,143.1,47.0,0.18532925079718687,79.47002105101929
27001,2007,133,189,207,205,238.0,253,207.0,279.0,,301,0,,49,49,,121,573.6080466509301,8.866762676049035,4,1.423482062638174,2.404503641036973,87.5,223.20544933570807,28.068571428571428,135.70544933570807,1269.128335943272,12.460203847945657,239.45,41.0,0.24063482843532305,66.6383937461869
27001,2008,171,221,241,223,,267,241.0,,,301,0,,45,45,,97,376.27030047342873,0.6688793241478732,0,0.98210339032721,1.7617128313637362,101.08999999999997,160.43185484013011,24.42666666666667,59.34185484013014,915.3300947308834,0.692098746329604,216.00000000000003,0.0,0.5539764875148316,0.0
27001,2009,166,224,249,227,,271,249.0,,,282,0,,45,45,,106,382.6566729621032,0.0,0,0.8481644809507078,1.2819604783475762,79.42000000000002,148.16274984567607,24.027777777777782,68.74274984567606,948.0483677217508,0.6947240818712007,267.54999999999995,0.0,0.5332091462413733,0.0
27001,2010,140,196,214,209,253.0,256,214.0,,,301,0,,48,48,,117,460.92954489372835,0.7457850201678481,0,0.7400859221217407,1.5462469866294866,198.76,171.15123408708635,24.553749999999997,-27.60876591291364,1127.2935348917963,0.7999433083105498,463.5100000000001,0.0,0.8466631717187667,0.0
27001,2011,155,210,228,216,280.0,262,228.0,,,302,0,,47,47,,108,428.70202710038103,0.2767683111188405,0,0.9006933510139344,1.830657044981908,75.45000000000002,173.0891339323378,24.500212765957446,97.63913393233778,1028.5936695928494,1.6662186384849345,329.6,0.0,0.5021304819852506,0.0
27001,2012,139,197,214,209,250.0,256,214.0,,,284,0,,48,48,,118,489.377562900024,1.174717803878628,0,1.1520154784502048,2.0089834250521594,60.09,206.3955611874628,26.13520833333334,146.30556118746279,1156.1297735103972,1.5754903910436888,535.8999999999999,14.0,0.33404002356699986,10.91222987356902
